seed,hw,area,graph,method,makespan
0,0.5,0.5,resnet,clpso,18629.163527484412
0,0.5,0.5,resnet,esa,18629.163527484412
0,0.5,0.5,resnet,gl25,15426.479869189507
0,0.5,0.5,resnet,greedy,22189.351098444295
0,0.5,0.5,resnet,jade,18629.163527484412
0,0.5,0.5,resnet,random,18629.163527484412
0,0.5,0.5,resnet,shade,18629.163527484412
0,0.5,0.5,squeezenet,ccpso,9466.81381582347
0,0.5,0.5,squeezenet,clpso,9466.81381582347
0,0.5,0.5,squeezenet,esa,8557.83960295602
0,0.5,0.5,squeezenet,gl25,7720.688403142072
0,0.5,0.5,squeezenet,greedy,13104.300634626201
0,0.5,0.5,squeezenet,jade,9466.81381582347
0,0.5,0.5,squeezenet,random,9466.81381582347
0,0.5,0.5,squeezenet,shade,9466.81381582347
0,0.5,0.7,resnet,ccpso,18629.163527484412
0,0.5,0.7,resnet,clpso,18629.163527484412
0,0.5,0.7,resnet,esa,18629.163527484412
0,0.5,0.7,resnet,gl25,11793.485909686244
0,0.5,0.7,resnet,greedy,17768.1396352982
0,0.5,0.7,resnet,jade,18629.163527484412
0,0.5,0.7,resnet,random,18629.163527484412
0,0.5,0.7,resnet,shade,18629.163527484412
0,0.5,0.7,squeezenet,ccpso,9466.81381582347
0,0.5,0.7,squeezenet,clpso,9466.81381582347
0,0.5,0.7,squeezenet,esa,9466.81381582347
0,0.5,0.7,squeezenet,gl25,5292.829198441415
0,0.5,0.7,squeezenet,greedy,10406.28193217665
0,0.5,0.7,squeezenet,jade,8714.708965621037
0,0.5,0.7,squeezenet,random,9466.81381582347
0,0.5,0.7,squeezenet,shade,9063.770170999698
0,0.5,0.9,resnet,ccpso,18629.163527484412
0,0.5,0.9,resnet,clpso,18629.163527484412
0,0.5,0.9,resnet,esa,18629.163527484412
0,0.5,0.9,resnet,gl25,10594.858222883691
0,0.5,0.9,resnet,greedy,7385.335301530271
0,0.5,0.9,resnet,jade,18629.163527484412
0,0.5,0.9,resnet,random,18629.163527484412
0,0.5,0.9,resnet,shade,18629.163527484412
0,0.5,0.9,squeezenet,ccpso,9466.81381582347
0,0.5,0.9,squeezenet,clpso,9466.81381582347
0,0.5,0.9,squeezenet,esa,9466.81381582347
0,0.5,0.9,squeezenet,gl25,3919.688229022764
0,0.5,0.9,squeezenet,greedy,7308.264082390543
0,0.5,0.9,squeezenet,jade,8420.753673411913
0,0.5,0.9,squeezenet,random,9466.81381582347
0,0.5,0.9,squeezenet,shade,9287.470403934947
0,0.7,0.1,resnet,ccpso,18629.163527484412
0,0.7,0.1,resnet,clpso,18629.163527484412
0,0.7,0.1,resnet,esa,18629.163527484412
0,0.7,0.1,resnet,gl25,18629.163527484412
0,0.7,0.1,resnet,greedy,22936.371933112958
0,0.7,0.1,resnet,jade,18629.163527484412
0,0.7,0.1,resnet,random,18629.163527484412
0,0.7,0.1,resnet,shade,18629.163527484412
0,0.7,0.1,squeezenet,ccpso,9466.81381582347
0,0.7,0.1,squeezenet,clpso,9466.81381582347
0,0.7,0.1,squeezenet,esa,9466.81381582347
0,0.7,0.1,squeezenet,gl25,9466.81381582347
0,0.7,0.1,squeezenet,greedy,11891.425939528472
