,hw,area,graph,method,mean_makespan,std_makespan
265,0.7,0.3,squeezenet,clpso,9098.235152160398,306.4950657866547
266,0.7,0.3,squeezenet,esa,9098.235152160398,306.4950657866547
267,0.7,0.3,squeezenet,gl25,9098.235152160398,306.4950657866547
268,0.7,0.3,squeezenet,greedy,13293.532750678543,605.5807494044631
269,0.7,0.3,squeezenet,jade,9098.235152160398,306.4950657866547
270,0.7,0.3,squeezenet,random,9098.235152160398,306.4950657866547
271,0.7,0.3,squeezenet,shade,9098.235152160398,306.4950657866547
272,0.7,0.5,resnet,ccpso,18418.485044850837,224.13603035577083
273,0.7,0.5,resnet,clpso,18418.485044850837,224.13603035577083
274,0.7,0.5,resnet,esa,18418.485044850837,224.13603035577083
275,0.7,0.5,resnet,gl25,17293.86056181554,1636.3455396824495
276,0.7,0.5,resnet,greedy,24900.38072825587,1053.008453990883
277,0.7,0.5,resnet,jade,18418.485044850837,224.13603035577083
278,0.7,0.5,resnet,random,18418.485044850837,224.13603035577083
279,0.7,0.5,resnet,shade,18418.485044850837,224.13603035577083
280,0.7,0.5,squeezenet,ccpso,9098.235152160398,306.4950657866547
281,0.7,0.5,squeezenet,clpso,9098.235152160398,306.4950657866547
282,0.7,0.5,squeezenet,esa,8834.433790658588,336.1840516039344
283,0.7,0.5,squeezenet,gl25,8804.677130852975,347.81069541903844
284,0.7,0.5,squeezenet,greedy,13024.447048330152,726.1887366176812
285,0.7,0.5,squeezenet,jade,9098.235152160398,306.4950657866547
286,0.7,0.5,squeezenet,random,9098.235152160398,306.4950657866547
287,0.7,0.5,squeezenet,shade,9098.235152160398,306.4950657866547
288,0.7,0.7,resnet,ccpso,18418.485044850837,224.13603035577083
289,0.7,0.7,resnet,clpso,18418.485044850837,224.13603035577083
290,0.7,0.7,resnet,esa,18418.485044850837,224.13603035577083
291,0.7,0.7,resnet,gl25,15542.051465719669,1343.5478135550695
292,0.7,0.7,resnet,greedy,21732.8749623005,1763.7638183925208
293,0.7,0.7,resnet,jade,18418.485044850837,224.13603035577083
294,0.7,0.7,resnet,random,18418.485044850837,224.13603035577083
295,0.7,0.7,resnet,shade,18418.485044850837,224.13603035577083
296,0.7,0.7,squeezenet,ccpso,9098.235152160398,306.4950657866547
297,0.7,0.7,squeezenet,clpso,9098.235152160398,306.4950657866547
298,0.7,0.7,squeezenet,esa,9098.235152160398,306.4950657866547
299,0.7,0.7,squeezenet,gl25,6944.763617127962,575.6454971994034
300,0.7,0.7,squeezenet,greedy,11311.71490963871,736.7804981460331
301,0.7,0.7,squeezenet,jade,8943.773833316878,193.79378420149564
302,0.7,0.7,squeezenet,random,9098.235152160398,306.4950657866547
303,0.7,0.7,squeezenet,shade,9098.235152160398,306.4950657866547
304,0.7,0.9,resnet,ccpso,18418.485044850837,224.13603035577083
305,0.7,0.9,resnet,clpso,18418.485044850837,224.13603035577083
306,0.7,0.9,resnet,esa,18418.485044850837,224.13603035577083
307,0.7,0.9,resnet,gl25,14617.701070868035,988.125182001665
308,0.7,0.9,resnet,greedy,12063.065726480112,845.585863980748
309,0.7,0.9,resnet,jade,18418.485044850837,224.13603035577083
310,0.7,0.9,resnet,random,18418.485044850837,224.13603035577083
311,0.7,0.9,resnet,shade,18418.485044850837,224.13603035577083
312,0.7,0.9,squeezenet,ccpso,9098.235152160398,306.4950657866547
313,0.7,0.9,squeezenet,clpso,9098.235152160398,306.4950657866547
314,0.7,0.9,squeezenet,esa,9098.235152160398,306.4950657866547
315,0.7,0.9,squeezenet,gl25,7019.77760238608,982.1545899435541
316,0.7,0.9,squeezenet,greedy,5991.54104436592,518.0571023889898
317,0.7,0.9,squeezenet,jade,9098.235152160398,306.4950657866547
318,0.7,0.9,squeezenet,random,9098.235152160398,306.4950657866547
319,0.7,0.9,squeezenet,shade,8951.784295354559,189.1759576110768
320,0.9,0.1,resnet,ccpso,18418.485044850837,224.13603035577083
321,0.9,0.1,resnet,clpso,18418.485044850837,224.13603035577083
322,0.9,0.1,resnet,esa,18418.485044850837,224.13603035577083
323,0.9,0.1,resnet,gl25,18418.485044850837,224.13603035577083
324,0.9,0.1,resnet,greedy,20584.4797335711,1305.7311512353099
325,0.9,0.1,resnet,jade,18418.485044850837,224.13603035577083
326,0.9,0.1,resnet,random,18418.485044850837,224.13603035577083
327,0.9,0.1,resnet,shade,18418.485044850837,224.13603035577083
328,0.9,0.1,squeezenet,ccpso,9098.235152160398,306.4950657866547
329,0.9,0.1,squeezenet,clpso,9098.235152160398,306.4950657866547
330,0.9,0.1,squeezenet,esa,9098.235152160398,306.4950657866547
331,0.9,0.1,squeezenet,gl25,9098.235152160398,306.4950657866547
332,0.9,0.1,squeezenet,greedy,10510.516723409455,1224.0547637572004
333,0.9,0.1,squeezenet,jade,9098.235152160398,306.4950657866547
334,0.9,0.1,squeezenet,random,9098.235152160398,306.4950657866547
335,0.9,0.1,squeezenet,shade,9098.235152160398,306.4950657866547
336,0.9,0.3,resnet,ccpso,18418.485044850837,224.13603035577083
337,0.9,0.3,resnet,clpso,18418.485044850837,224.13603035577083
338,0.9,0.3,resnet,esa,18418.485044850837,224.13603035577083
339,0.9,0.3,resnet,gl25,18418.485044850837,224.13603035577083
340,0.9,0.3,resnet,greedy,24516.78471064003,1133.0052448638403
341,0.9,0.3,resnet,jade,18418.485044850837,224.13603035577083
342,0.9,0.3,resnet,random,18418.485044850837,224.13603035577083
343,0.9,0.3,resnet,shade,18418.485044850837,224.13603035577083
344,0.9,0.3,squeezenet,ccpso,9098.235152160398,306.4950657866547
345,0.9,0.3,squeezenet,clpso,9098.235152160398,306.4950657866547
