Config,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,milp,diff_gnn_with_order,diff_gnn_without_order,random_org,greedy_org,pso_org,dbpso_org,clpso_org,ccpso_org,esa_org,shade_org,jade_org,gl25_org,best_method
config_mkspan_area_0.5_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,1,2114.941642563786,5191.992187449899,5664.730311089657,8566.619715857154,8769.553212251987,8479.234953034216,8463.634872590435,8534.463122023615,8767.35178928696,8769.553212251987,7955.209708168958,7938.097471055618,5581.06840530122,milp
config_mkspan_area_0.5_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,2,2283.2253242448087,4057.372633260672,6590.202960214046,8166.259714537354,8942.015456463534,8445.511286792987,7898.627874902732,8290.433819447646,7299.201993576847,8702.22705672887,7815.589623287794,7886.720004224886,5347.279764188882,milp
config_mkspan_area_0.5_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.5,3,2402.075251214123,5472.580219986526,6038.349220681678,8267.106907219626,9214.558124102598,8689.03835936825,8222.850480919424,8404.143022337521,8784.643042143227,8610.753909223833,8170.354138866471,8079.693567602147,5238.514238517581,milp
config_mkspan_area_0.5_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,0,3255.2574072885595,6444.403674093916,9148.233636287454,8575.87806996936,9466.813815823476,8700.085744697762,8967.343832914652,9375.503445239196,9006.303968291058,9466.813815823476,8515.61433909172,8490.91786710729,6316.719423720921,milp
config_mkspan_area_0.5_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,1,2973.244389766188,5768.596414423214,5685.562948348467,8769.553212251987,8769.553212251987,8547.88017813029,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8376.901584344667,8394.858147832452,5212.211055937514,milp
config_mkspan_area_0.5_hw_0.5_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,2,3026.050890814836,6451.660327122291,8412.747794689567,8522.336836336506,8942.015456463534,8498.37572201098,8377.333098537903,8767.161361808849,7849.167054763602,8942.015456463534,8428.028840683615,8428.028840683615,5796.24062542144,milp
config_mkspan_area_0.5_hw_0.5_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.5,0.5,1.0,0.5,3,3127.7756382010944,6283.093977067745,6428.2297849468805,8693.936473637315,9214.558124102598,8819.636372503213,8617.719513238342,8828.41170955732,9182.197479632456,9014.21353899388,8238.4640078893,8354.150643335232,5987.2397549492125,milp
config_mkspan_area_0.5_hw_0.7_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,0,4020.079202135352,9466.813815823476,9148.233636287454,9043.976693267728,9466.813815823476,8897.401859653242,9344.78140871384,9466.813815823476,9460.764374786944,9380.917067901351,8717.794566315004,9206.1076688416,6094.303526069518,milp
config_mkspan_area_0.5_hw_0.7_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,1,3816.4954860030457,6548.074889317292,8769.553212251987,8769.553212251987,8769.553212251987,8605.79359189174,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8691.365682617909,8769.553212251987,6558.949784125074,milp
config_mkspan_area_0.5_hw_0.7_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,2,3725.0450511470062,4440.295879155787,8030.828090135482,8878.413958135656,8942.015456463534,8345.445443846911,8884.314319712012,8942.015456463534,8357.31276729571,8692.363491088581,8667.425476203338,8339.855022646507,5979.76938663311,milp
config_mkspan_area_0.5_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.5,3,3738.746554787266,6985.133899467547,6826.198415937004,9120.766040055005,9214.558124102598,8834.101444953338,8991.859011135733,9214.558124102598,9214.558124102598,9214.558124102598,9003.118479422206,8699.018404299377,5890.545383953535,milp
config_mkspan_area_0.5_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.5,0,4698.865529235522,9466.813815823476,9079.519227027824,9466.813815823476,9466.813815823476,8929.787568710515,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9341.19165501731,9466.813815823476,6909.471910194261,milp
config_mkspan_area_0.5_hw_0.9_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.5,1,4709.235892877849,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8634.713575610032,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,6558.771277855072,milp
config_mkspan_area_0.5_hw_0.9_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.5,2,4476.249261822696,8942.015456463534,8853.837862286271,8942.015456463534,8942.015456463534,8425.508684425227,8942.015456463534,8942.015456463534,8916.200013027443,8942.015456463534,8942.015456463534,8942.015456463534,6218.760669128824,milp
